stream_code,career_outcome_code,relationship_type,version,source_document
MGT-STR-OPS-POLICAMPMANA,CAR-MGT-OPS-POLICAMPMANA-01,LEADS_TO,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-OPS-PROCMANA,CAR-MGT-OPS-PROCMANA-01,LEADS_TO,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-OPS-QUALMANA,CAR-MGT-OPS-QUALMANA-01,LEADS_TO,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-OPS-TOURBUSIMANA,CAR-MGT-OPS-TOURBUSIMANA-01,LEADS_TO,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-OPS-HERIEXPEMUSEOPER,CAR-MGT-OPS-HERIEXPEMUSEOPER-01,LEADS_TO,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-OPS-PUBLOPERLITEBUSI,CAR-MGT-OPS-PUBLOPERLITEBUSI-01,LEADS_TO,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-ANA-BUSIANAL,CAR-MGT-ANA-BUSIANAL-01,LEADS_TO,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-ANA-BUSIRESEANAL,CAR-MGT-ANA-BUSIRESEANAL-01,LEADS_TO,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-CONS-MSMEBUSIDIGICONS,CAR-MGT-CONS-MSMEBUSIDIGICONS-01,LEADS_TO,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-ENT-FAMIBUSIMANA,CAR-MGT-ENT-FAMIBUSIMANA-01,LEADS_TO,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-PROD-PRODMANA,CAR-MGT-PROD-PRODMANA-01,LEADS_TO,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-PROD-PRODOPERMANA,CAR-MGT-PROD-PRODOPERMANA-01,LEADS_TO,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-PROD-CUSTSUCCMANA,CAR-MGT-PROD-CUSTSUCCMANA-01,LEADS_TO,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-PROD-REVEOPERANALMANA,CAR-MGT-PROD-REVEOPERANALMANA-01,LEADS_TO,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
