stream_code,career_outcome_code,relationship_type,version,source_document
HUM-STR-PSY-COUNPSYC,CAR-HUM-PSY-COUNPSYC-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PSY-EDUCPSYC,CAR-HUM-PSY-EDUCPSYC-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PSY-FOREPSYC,CAR-HUM-PSY-FOREPSYC-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PSY-ORGAPSYC,CAR-HUM-PSY-ORGAPSYC-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PSY-PSYCANDASSE,CAR-HUM-PSY-PSYCANDASSE-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PSY-SPORPSYC,CAR-HUM-PSY-SPORPSYC-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-GEO-DISAANDHUMASTUD,CAR-HUM-GEO-DISAANDHUMASTUD-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-GEO-ENVIHUMA,CAR-HUM-GEO-ENVIHUMA-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-GEO-GISANDSPATHUMA,CAR-HUM-GEO-GISANDSPATHUMA-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-GEO-GEOG,CAR-HUM-GEO-GEOG-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-GEO-URBASTUD,CAR-HUM-GEO-URBASTUD-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PHI-APPLETHIANDAI,CAR-HUM-PHI-APPLETHIANDAI-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PHI-MEDIANDHEALHUMA,CAR-HUM-PHI-MEDIANDHEALHUMA-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
