stream_code,career_outcome_code,relationship_type,version,source_document
LAW-STR-FIN-SANCAMLCOMPSPEC,CAR-LAW-FIN-SANCAMLCOMPSPEC-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-FIN-WHITCOLLCRIMLAWY,CAR-LAW-FIN-WHITCOLLCRIMLAWY-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-IBC-INSOPROF,CAR-LAW-IBC-INSOPROF-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-IBC-RESOPROFSUPPANAL,CAR-LAW-IBC-RESOPROFSUPPANAL-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-IP-INTEPROPLAWY,CAR-LAW-IP-INTEPROPLAWY-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-IP-TRADATTOBRANPROT,CAR-LAW-IP-TRADATTOBRANPROT-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-TECH-DATAPROTOFFIPRIV,CAR-LAW-TECH-DATAPROTOFFIPRIV-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-TECH-CYBELAWSPEC,CAR-LAW-TECH-CYBELAWSPEC-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-TECH-AIGOVEAIPOLI,CAR-LAW-TECH-AIGOVEAIPOLI-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-TECH-LEGATECHPRODMANA,CAR-LAW-TECH-LEGATECHPRODMANA-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-TECH-ONLIDISPRESOPLAT,CAR-LAW-TECH-ONLIDISPRESOPLAT-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-TECH-LEGAAIPROMENGI,CAR-LAW-TECH-LEGAAIPROMENGI-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-TECH-DIGIPUBLINFRLAW,CAR-LAW-TECH-DIGIPUBLINFRLAW-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-TECH-LEGAENTRLEGASERV,CAR-LAW-TECH-LEGAENTRLEGASERV-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-ADR-ARBICOUN,CAR-LAW-ADR-ARBICOUN-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-ADR-MEDICONC,CAR-LAW-ADR-MEDICONC-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-INT-INTETRADLAWY,CAR-LAW-INT-INTETRADLAWY-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-INT-IMMILAWYGLOBMOBI,CAR-LAW-INT-IMMILAWYGLOBMOBI-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-INT-AVIALAWY,CAR-LAW-INT-AVIALAWY-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-INT-SPACLAWSATEPOLI,CAR-LAW-INT-SPACLAWSATEPOLI-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-INT-INTEORGALEGAOFFI,CAR-LAW-INT-INTEORGALEGAOFFI-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-PUB-HUMARIGHLAWY,CAR-LAW-PUB-HUMARIGHLAWY-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-PUB-ENVILAWYESGCOUN,CAR-LAW-PUB-ENVILAWYESGCOUN-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-PUB-LEGAAIDCOOR,CAR-LAW-PUB-LEGAAIDCOOR-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-PUB-LEGAETHIPROFRESP,CAR-LAW-PUB-LEGAETHIPROFRESP-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-CRIM-FORELEGACONS,CAR-LAW-CRIM-FORELEGACONS-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-CRIM-CRIMCRIMJUSTRESE,CAR-LAW-CRIM-CRIMCRIMJUSTRESE-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-CRIM-POLILEGAADVIINVE,CAR-LAW-CRIM-POLILEGAADVIINVE-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-CRIM-DIGIEVIDSPEC,CAR-LAW-CRIM-DIGIEVIDSPEC-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-FAM-FAMILAWY,CAR-LAW-FAM-FAMILAWY-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-PROP-REALESTALAWY,CAR-LAW-PROP-REALESTALAWY-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-SEC-CONSPROTLAWY,CAR-LAW-SEC-CONSPROTLAWY-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-SEC-ENERLAWY,CAR-LAW-SEC-ENERLAWY-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-SEC-HEALLAWYMEDILAW,CAR-LAW-SEC-HEALLAWYMEDILAW-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-SEC-LEGAMETRPRODCOMP,CAR-LAW-SEC-LEGAMETRPRODCOMP-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-SEC-FOODLAWFSSACOMP,CAR-LAW-SEC-FOODLAWFSSACOMP-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-OPS-LEGAOPERMANA,CAR-LAW-OPS-LEGAOPERMANA-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-OPS-LEGAPUBLLAWBOOK,CAR-LAW-OPS-LEGAPUBLLAWBOOK-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-OPS-LAWFIRMKNOWMANA,CAR-LAW-OPS-LAWFIRMKNOWMANA-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-EDU-LEGAACADLAWPROF,CAR-LAW-EDU-LEGAACADLAWPROF-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-EDU-LEGARESERESEASSO,CAR-LAW-EDU-LEGARESERESEASSO-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-EDU-LEGACONTWRITEDIT,CAR-LAW-EDU-LEGACONTWRITEDIT-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-ADJ-LEGAPROCOUTSANAL,CAR-LAW-ADJ-LEGAPROCOUTSANAL-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-ADJ-SPORLAWY,CAR-LAW-ADJ-SPORLAWY-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-ADJ-LEGIASSIPOLIDRAF,CAR-LAW-ADJ-LEGIASSIPOLIDRAF-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-ADJ-CIVISERVWITHLAW,CAR-LAW-ADJ-CIVISERVWITHLAW-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-ADJ-COMPLAWLAWY,CAR-LAW-ADJ-COMPLAWLAWY-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-ADJ-LEGAJOUR,CAR-LAW-ADJ-LEGAJOUR-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-ADJ-COURREPOLEGATRAN,CAR-LAW-ADJ-COURREPOLEGATRAN-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-ADJ-PARA,CAR-LAW-ADJ-PARA-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-ADJ-EDUCLAWSPEC,CAR-LAW-ADJ-EDUCLAWSPEC-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-ADJ-LEGARECRTALESPEC,CAR-LAW-ADJ-LEGARECRTALESPEC-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-ADJ-COURTRIBADMI,CAR-LAW-ADJ-COURTRIBADMI-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-ADJ-NOTA,CAR-LAW-ADJ-NOTA-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-ADJ-OATHCOMMCOMMFOR,CAR-LAW-ADJ-OATHCOMMCOMMFOR-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-ADJ-ALTELEGASERVPROV,CAR-LAW-ADJ-ALTELEGASERVPROV-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-ADJ-LEGAARCHCOURRECO,CAR-LAW-ADJ-LEGAARCHCOURRECO-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-ENT-LEGARISKCONS,CAR-LAW-ENT-LEGARISKCONS-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
